title,synopsis,type_,episodes,rating
S to Bocchama,1. S to Bocchama 2. Junai Train 3. Himitsu no Maintenance 4. Dokomademo Issho 5. Yuurei Yashiki to Obocchama 6. Ryoujoku Hokenshitsu 7. Shiawase S to Bocchama,Manga,1,-
S to F,,Manga,3,-
S to M,"A loving wife, cute daughter, trust and a high social position I built for myself... For a man who lived his life so seriously to lose it all, a pitfall of temptation must open up right in front of hi...",Manga,31,-
S to M no Mitsugetsu,This volume includes stories of two couples. ,Manga,1,-
S to M no Sekai,"To survive a fatal train wreck, Sekai Maihime is thrust back in time where she discovers she has hidden powers that are connected to a doll, 'S.' She is both aided and limited by 'S's' vague (but kind...",Manga,2,6.37
S to N no Kankei: Tsunagaru made Hanarenai!,,Light Novel,1,-
S to S no Furachi na Doumei,,Light Novel,2,-
S wa Fragile no S,"A school boy decides to punish his bully. Included one-shots: Goshujinsama to Dorei no Tsuma, Boku wa, Yuusha.",Manga,1,-
S Watari-san to M Mura-kun,"Intelligent and beautiful Reika Sawatari and handsome and astute Subaru Emura, both of whom with a certain fetish that nobody knows, have started their relationship after a certain event. (Source: MU)",Manga,3,6.41
S!X,1. Sai wa Nagasareta 2. Imouto2 3-5. Chiyo ni 6. Koma ga Isameba 7. S.M.L. 8. Chijo wo Tazunete (A Visit with a Pervert),Manga,1,-
S+,"A group called ICA shows up at school and takes Akane away telling her to provide information about her brother Akihei, but she refuses to. After a while she changed her mind and agree to help them be...",Manga,2,7.19
S+M,"Ryou has the biggest breasts of any shoujo manga heroine to date! But life isn't any piece of (cheese) cake, because she's constantly being assaulted by perverts who want to cop a feel. The first man...",Manga,3,6.21
S+Rush!!,"Focuses on ru2sh! member Ryou and popular actor Shun Ogura. After Ryou uses details of Ogura's past to blackmail him into leaving Yuu and Hinata alone, the two somehow keep running into each other. Sl...",Manga,1,-
S-dere na Kouhai Joshi ga Ore wo Choukyou Shiyou to Shitekimasu,,Light Novel,1,-
S-ka Chuuihou!,"Yuuna is the proud owner of Yuuri an android who was designed to look like Yuuna's twin. However, now that Yuuri is back from a tune up at his creators he's acting a bit different. Seems he wants to t...",Doujinshi,1,6.58
