title,synopsis,type_,episodes,rating
Ya-ya-yah ga Yattekuru!,"In the Taishou era, there was a girl named Kinako who loved to sing. However, her parents forbid her to sing, and forced her into an engagement! While running away from her engagement, she fainted. Du...",Manga,2,-
Yaba Koi,"A collection of one-shots: 1. Real Kiss by MIYASAKA Kaho 2. Mikansei no Futari by WATANABE Shiho 3. Hana, hiraku. by YUMACHI Shin 4. Boku no Kanojo ha Erokawa desu. by TSUZUKI Moe 5. Koisuru Honnou by...",Manga,1,6.82
Yabai Kimochi,"Tooru is a shy and quiet student who has developed a special crush on his close friend Ryouji, the most popular member of the high school swim team. In front of Ryouji, Tooru hides his feelings and ac...",Manga,1,7.25
Yabai Kimochi,"Tooru is a shy and quiet student who has developed a special crush on his close friend Ryouji, the most popular member of the high school swim team. In front of Ryouji, Tooru hides his feelings and ac...",Light Novel,1,7.14
Yabai Me de Minna yo!!,"The person Aiba Misao loves is an onnagata in taishuu engeki, named Yumedono Ginnojou. He fell in love when he saw this person on stage, believing him to be a girl. Thus, when the plain Oosato Ginji i...",Manga,1,6.81
Yabakune?,1. Game Center Arashimakuri 2. Pet 3. Irete Ageru 4. Aiseki 5. Osouji 6. Kougai Gakushuu no Kyouikuteki Kouka 7. Ikisugi! Ouendan 8. Toshiwasure Karaoke Taiketsu(?) 9. Kuro Gal Geinin Sana & Rumi,Manga,1,-
Yaban de Kouki na Kyuukonsha,,Light Novel,1,-
Yaban no Sono,"High-class Robotics School a.k.a. Kousen is a high school that professionalizes in robotics. Although they have won many robotic competitions, they are not very well known for anything. The story does...",Manga,3,-
Yabasugiru Shimai ni Ejiki ni Sareta Ore,,Light Novel,1,-
Yabou Enbukyoku,,Manga,10,-
Yabunuma 2: Taninbou ni Nakasareru Kimi ga Itoshikute,Previously... protagonist Tomo and his wife Sakumi celebrated their fifth anniversary. They were a typical couple in the middle years of their relationship. One night Tomo happened to meet Sakumi's bo...,Light Novel,1,-
Yabunuma: Shinshoku sareyuku Tsuma no Mitsuhada,,Light Novel,1,-
Yacchau no!!,1. Kongari Imouto-ex 2. Imouto no Tomadachi wa Santa Claus 3. Neko-kaburi 4. Ballet Lesson 5-6. Umi no Ie no Arbeit 7. Natsuyasumi no Juku 8. Hirotta Memory 9. Yukiasobi! 10. Imouto ga Kita! 11. Imout...,Manga,1,-
Yacchimai na!,1. Yacchimai na!! 2. Icchimai na!! 3. Mousou Lolipop 4. Baby Rondo,Manga,1,7.55
Yacchimonee,Unique personalities under one roof. Falling in love is hard—Heart-warming love! Kiichi came to 'Tokyo to enter university and to live in share-house accommodation. He starts to fall for a good-lookin...,Manga,1,6.45
Yachin Hanbun no Ibasho desu.,"“Want to come to my place?”. Despite being a little offended by those words, Shiraishi accepted Kanzaki’s kind offer and thus, they began their co-inhabitant and living under the same roof. Shiraishi,...",Manga,1,7.26
Yadokari Fuck!! Iede DC Furousha Yogore Chinpo Josou Pako Pako Mebuta Akume,Trap is delicious. Trap is submissive. Trap has gotten raped so much and so well that he doesn’t even know what to do with his life anymore. (Source: MU),Doujinshi,1,6.32
Yadokari Honpo,"Yoshihiko Yagira, 21-years-old, moves into a haunted apartment on purpose! What reason could he possibly have to do this?! (Source: MU)",One-shot,-,6.73
Yadokari no Kuni,,One-shot,-,-
Yadori Ishi,,Manga,1,-
Yae no Sakura,"A dramatization of the real life of Yaeko Yamamoto. Over 100 years ago, Yaeko broke traditional Japanese stereotypes gender and honor to become a gun-warrior in defense of her homeland of Aizu. (Sourc...",Manga,3,7.43
Yaemoto Manaka Satsuei Chuu!,,Doujinshi,1,-
Yagami-kun no Katei no Jijou,"Yagami-kun's Family Affairs follows Yūji Yagami, a high school student with a problem: his mother, Nomi, looks very young and Yūji has a crush on her. To complicate matters, his high school homeroom t...",Manga,7,-
"Yagami-kun wa, Kyou mo Ijiwaru.","Just by talking to the famous Yagami-kun, Shizuku's high school life has become hard even from the start—!? (Source: Chibi Manga)",Manga,-,7.15
Yagate Itoshiki Tablecloth,After a certain incident a freeloader came to live in his house. But... He still lives with his parents! How will they manage to find get on together and will love have a chance to bloom in this situa...,Manga,1,-
Yagate Kimi ni Naru,Yuu Koito has always enjoyed romance manga and love songs. She clings to them with the hope that she will one day experience a love story of her own—one that will sweep her off her feet and make her h...,Manga,8,8.67
Yagate Kimi ni Naru: Koushiki Comic Anthology,An anthology comic of Yagate Kimi ni Naru by various mangaka.,Manga,-,7.37
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,"The story focuses on Sayaka's past. In the first part, while still in elementary school, Sayaka has her first experience with romantic feelings when she meets a free-spirited girl in her swimming clas...",Light Novel,-,8.14
Yagate Koisuru Vivi Lane,,Light Novel,7,-
Yagate Maken no Alicebell,"Seiji Harada usually avoids girls due to the fact that he believes that they are the source of all problems. As he enters his high school years, he is forced to join an all-girl school that recently b...",Light Novel,7,-
Yagate Maken no Alicebell,"Seiji Harada usually avoids girls due to the fact that he believes that they are the source of all problems. As he enters his high school years, he is forced to join an all-girl school that recently b...",Manga,3,-
"Yagate, Ai ni Naru","When they were children, being brothers was enough reason for Taisei and Kouta to live together. However, since they've grown up, Taisei has become aware that his feelings for his little brother Kouta...",Manga,1,6.84
Yagi to Ookami no Hatsujou Jijou,"Human beasts Yagi and Okami live on a planet called Serian, which is just like Earth. They were sent out on infiltration training to Earth together when they entered high school. They were once close...",Manga,1,7.06
Yagi-kun to Mei-san,"""If you send your letter from there, your love will come true!"" That post office actually exists, right near a park; and that's where our rookie, Mei, is assigned. But the workers there are all handso...",Manga,3,-
Yagi-san Yuubin,"University student Hirose Kiyotaka finds a love letter tucked into the pages of a borrowed book. While attempting to return the letter, he encounters the charismatic Hanashiro Seiji and quickly become...",Manga,3,-
Yagiza no Yuujin,"""The world is not going to give anyone any help. So I chose this path. In order to survive."" One event, two teenagers. Before they make their decision, what awaits them in their future? (Source: MU)",Manga,1,7.70
Yagura no Futari,,One-shot,-,-
Yagyuu Hichou: Kaze no Shou,From the pages of history comes the legend of the Samurai Juubei and the book he was pledged to protect. Now that book has been stolen and Juubei must retrieve it before Japan descends into bloody civ...,Manga,1,7.05
Yagyuu Hijouken Samon,"After the young Shogun Tokugawa Iemitsu dismisses the famous Yagyuu Jubei from his position as his fencing instructor, he chooses Jubei's younger brother, Samon as his replacement. Samon is supposedly...",Manga,1,6.30
Yagyuu Renya Bugeichou,"Toshikane Yagyuu, later known as Renyasai, heads for Edo in order to become the Owari Tokugawa clan's combat instructor. A comic about genuine sword techniques by one of the masters of period dramas!...",Manga,5,-
Yahabe,"From Hiroyuki Takei, the creator of ""Shaman King"" and its manga sequel ""Shaman King Flowers."" Yosuke Kamogawa had nothing to live for, but a mysterious pyramid appears called Yahabe! With the power to...",One-shot,-,6.39
U,"Yuu has spent her entire life with a “copy” of herself, her twin sister. Now science has created a copy more perfect than nature ever could, and Yuu seems like the perfect test subject. But as her cop...",Manga,1,6.50
U Don't Know Me,"Seyun, a lithe and catty high-schooler with a mysterious past, and Yoojin, a rough-and-tumble, straight-laced Judo star, have known each other since they were children. Growing up in the same place, t...",Manhwa,1,7.48
U wa Uchuu Yabai no U! Sekai ga Horobu 5-byoumae,,Light Novel,1,-
U wa Uchuusen no U,"An adaptation of eight Ray Bradbury stories. 1. R is for Rocket A group of boys dream of one day riding a rocket into space. 2. The Screaming Woman ""When you're living on a street like I'm living on,...",Manga,1,7.06
U-31: All You Need Is Football!,"The manga follows Atsuhiko Kouno, a soccer player who represented Japan in the 1996 Atlanta Olympics and had high expectations to become a star player. Now in 2002, he is 31 and has somehow slipped in...",Manga,2,-
U-chan no Kobako,,Light Novel,-,-
U-so-tsu-ki★Knight,"Touko Momozono is a bright and eager shitamachi girl. She lives with an unwed mother and grandmother, all-female household. Her father had already gone when she was born, but she lived in comfort. Onl...",Manga,2,-
U.C. Boys,An anthology of shotacon stories by various mangaka.,Manga,2,-
U.ta.hi.me,About a group of three girls who want to become idols. (Source: http://www.usagi.org/doi/seiyuu/cd/drama/utahime1.html),Manga,12,-
U12,"Twelve girls are imprisoned in a mysterious prison. Fighting their way through this unjust and abnormal conditions, these girls have begun a life and death struggle. A harrowing little girl prison esc...",Manga,9,5.76
U12 Kodomo Fellows,An anthology by various mangaka dealing with the theme of children.,Manga,1,-
U19,"Year 2036, Japan is under the adult party power and make children's life miserable. But for ""rebellious-edgy-teenager"" Kudou Eiji, It doesn't matter because he has his childhood friend Akari to cheer...",Manga,3,5.87
U・BU U・BU,"KAZAMI Hyoko has a dream of becoming a nude model. On the day of an important talent contest for a famous photographer who is searching for a model, Hyoko attracts the attention of three very differen...",Manga,6,-
"Ubai: Hito no Onna, Urimasu",,Light Novel,1,-
Ubatte Agemasu,"The greatest, wholehearted, female loving wild animal story in the history of Cheese! Onizuka descends! A super sweet love story! Also includes two side stories: Fake na Kanojo Akuma na Motokare (Devi...",Manga,1,7.00
Ubatte Choudai,"College student, Yuugo, is under heavy attack by his supper good-looking best friend, Masatoshi! As much as he keeps telling himself, ""We're both men!,"" Yuugo is quickly losing ground! Especially when...",Manga,1,6.82
Ubatte! Magical Confusion,,Light Novel,1,-
"Ubatte, Daite.",This volume includes short stories of two couples.,Manga,1,-
Ubau Mono Ubawareru Mono,"Seto Yu is a 12-year-old boy, despite being very intelligent, he is a deprived person. Abused violently by his father and beaten by debt collectors regularly due to his father, his body filled with sc...",Light Novel,-,7.41
Ubau Mono Ubawareru Mono,"Setou Yuu is a 12-year-old boy, despite being very intelligent, he is a deprived person. Abused violently by his father and beaten by debt collectors regularly due to his father, his body filled with...",Manga,-,7.13
Ubau Otoko,A collection of oneshots by Nishida Higashi.,Manga,1,-
Ubawarerukoto Marugoto Zenbu,"Takao's obsession with big breasts is no secret. In fact, he is so caught up admiring well-endowed women that he remains oblivious of the love for him by his childhood friend, Yoshinaga. When Takao pl...",Manga,1,7.49
Ubawareta Cinderella: Kodoku na Koushaku wa Ai wo Shitte,,Light Novel,1,-
Ubawareta Hanayome,"""Your father embezzled company money. Marry me if you don't want me to disclose it."" Four years ago, Isobel married a man she didn't love without telling the truth to Lorenzo, who she truly loved. Soo...",Manga,1,6.61
Ubawareta Himegimi to Shinku no Monshou,,Light Novel,1,-
Ubawareta Junketsu: Ouji no Amai Shuuchakuai,,Light Novel,1,-
Ubawareta Kenshin: Utsukushiki Kemono no Shuuchaku ni Reijou wa Oboreru,,Light Novel,1,-
Ubawareta Kiss,"Riku likes her sensei but a mysterious young boy of her age who looks strikingly similar to him steals a kiss from her, how will the story unfold? (Source: Paperdolls Project)",One-shot,-,6.38
Ubawareta Koibito: Joshikousei wa Akutoku Kyoushi ni Otosarete......,,Light Novel,1,-
Ubawareta Konyaku,,Light Novel,1,-
Ubawareta Ryoshuu-hime: Pharaoh no Gekiai ni Oujo wa Oboreru,,Light Novel,1,-
Ubu-Chu!,,One-shot,-,-
Ubu-Love,,Manga,1,-
Ububae,"1. Iki wo Koro Shite 2-3. Torowa 4-5. Yoru no Samayoi 6. Anko Musume to Ganmen Kijo 7-8. Gaki no Koro kara Zutto Issho de 9-10. Houkago wa Itsumo... 11-13. Anipyu! (5.5, 6-7)",Manga,1,-
Ubukata-kun no Yokoshima na Nichijou,,Manga,-,-
Ubukawa - Hajimete no Kare,"Uri was just a normal, average female high school student, but, one day, she suddenly got three older brothers!! Not only that, but they are all extremely handsome?! Surrounded by big brothers like th...",Manga,5,7.26
Ubume no Natsu,"A bizarre set of mysteries have befallen the Kuonji household. Kyoko Kuonji is said to be with child for the last twenty months, and her husband Makio disappeared a few months prior to the prgnancy. T...",Novel,1,-
Ubume no Natsu,"Tokyo, 1952. The bizarre case of a missing doctor and his supernaturally pregnant wife captures the imagination of novelist Sekiguchi Tatsumi, so he enlists the help of an old friend, Chuuzenji Akihik...",Manga,4,7.63
Ubunchu!,"Based on the Linux operating system variant Ubuntu, this ""slapstick school comedy,"" three high school students—the fervent UNIX user and club president Akane Kisaragi, the hardcore gal-game otaku vice...",Manga,1,6.87
Ucchare Goshogawara,,Manga,12,-
"Uchi de, Ocha demo.","Ichie Sawa do not have family. One day, he was invited to have tea at a friend's house... Included one-shot: Volume 1: Toorisugari no, Hase to Naya.",Manga,2,-
Uchi Hame!,Gakuin Paradise! Shanai Kankei: Nothing better than developing a workplace where everyone is good friends with everyone…including the director of your branch’s mentally ball-crushing girlfriend. That’...,Manga,1,-
Uchi ni Oide yo,A story about two people who share the same room right from the day they first meet.,Manga,7,-
Uchi ni Oide yo,"Natsuki cannot fall asleep unless he tires himself out through sex, so he picks partners with no strings attached to help him out. One rainy day, he comes across a handsome guy waiting in the rain at...",Manga,1,-
Uchi ni oideyo,1) Why Don't You Make a Dream Come True With me ? (Uchi ni Oideyo) (2 chapters) : Takao is a talent scout who just met a beautiful guy he wants to turn into a model. However the guy isn't really inter...,Manga,1,6.89
Uchi no Ane ga ○○ Sugite Komatteiru Ken,,Light Novel,1,-
Uchi no Ani no Renai Jijou,"""If you weren't my kid brother, how would you hit on me?"" Tetsuo, the ever indifferent adoptive brother, is hurt by his relationship with an older man. Seeing him in tears, Touma realizes his feelings...",Manga,1,7.10
Uchi no Apartment no Yousei-san,"What do you get when you put a down-to-earth college student in a supposedly vacant apartment that's actually full of some quirky, otherworldly creatures? A whole lot of trouble, a whole lot of cutene...",Manga,-,-
Uchi no Class no Joshi ga Yabai,,Manga,3,-
Uchi no Class no Tayorinai Last Boss,,Light Novel,2,-
C Court,,Manga,1,-
C!!,A group of girls get together to create a BL doujinshi circle.,Manga,10,-
C-,1. kissing number problem 2. Theobromin 3. Reizokusei Club 4. Hishigyaku Shindo 5. on 6. off 7. Katte ni Rakuen-chan (Kari) 8. Soreyuke Rakuen-chan (Kari) 9. Migi no Futari 10. C-,Manga,1,-
C-blossom: Case 729,Matsumiya Kana's world is turned upside down when her father is arrested on charges of embezzling from the Ministry of Defense. She decides to escape the trauma by transferring to a private boarding s...,Manga,2,7.36
C-Kei Otome Renmei,A series of one-shots. Ultra-cute romances that come along with relationship life-lessons.,Manga,1,-
C-R-O-S-S,"Two youths, Ray and Saki, are leaving the majestic european St.Hainheratsu Theological School for Japan - their task? To subdue the vampires that have spread across the world. It has been a long time...",Light Novel,2,-
C.A.T.,"The third World War is nearing. Each super power country is going through a communications war to prepare for it, a war to obtain the top profiles' information of enemy countries using the Russian's s...",Manhua,2,7.26
C.M.B. Shinra Hakubutsukan no Jiken Mokuroku,"During the age of exploration and discovery, Europeans who explored the world far away bring home specimens yet unknown in Europe. Those aristocrats and explorers gathered their collection to be shown...",Manga,45,7.76
CA to Oyobi!,"Sae is a flight attendant working for ANL (AeroNippon Lines, a fictious airline). She wanted to work in this field thinking on the glamourous aspect of the job since her friends at the university were...",Manga,4,-
Cabaret Mama,,Manga,11,-
Cabbage na Futari,"Mochizuki Hana has a crush on Hibino Sentarou, a novel writer when she first saw his picture on the back of the book's cover. One day she found out that a mysterious guy in her dad's monjayaki shop is...",Manga,3,-
"Cactus, Go to Heaven!",,Manga,5,-
Café de Blood: Mayonaka no Nemuranai Chikai,,Light Novel,1,-
Café de Romance,,Manga,1,-
Café e Youkoso,1-4. Café e Youkoso 5. Hatsukoi 6. Kanojo no Himitsu (Her Secret) 7. Red Zone 8. Ai yoku Gou wo Seisu (Love Conquer Quest) 9. My Sweet Lady 10. All Night Jam 11. Mellow,Manga,1,6.77
Café Kichijouji de,"""Irasshai!"" Welcome to the most unruly cafe in Kichijouji and its charming staff of five who have absolutely nothing in common. When tempers rise, so do mop handles, giant boulders and repair bills. M...",Manga,3,7.30
Café Kichijouji de - Niban Senji,"In a corner of Kichijouji, there's a small café where five good-looking young men work... but there's no end to the trouble they cause! Glasses-wearing clean freak Tarou; the womanizing Maki; the ever...",Manga,1,-
Café Latte Rhapsody,"A bookstore employee, Serizawa - a short, comical, and adorable young man - spots Keito - a immensely tall and intense-eyed man - in the store. It was a love at first sight for Serizawa! However, Seri...",Manga,1,7.78
Café Men!,"Three years after being separated from his brother, Ouya came back to work with him in his coffee shop.",Manga,1,6.66
Café Relish ni Oide,"Virtual reality? Nope, it's a café! When the restaurant owned by Inui Yasamoto's big brother runs into financial difficulty, their ex-host regular Ookami comes up with the solution: an all-male versio...",Manga,1,7.29
Café to Ore no Senpai,,Light Novel,3,-
Café Velomano,Taemuk han is a 39-year-old Barista who opens his own coffee shop. He likes being free and finds it hard to get the right woman. Yeoun Sun is a 28-year-old woman who wants to be a Designer and wants t...,Manhwa,-,-
Café-Café,"The troubles of Kazuno, proprietor of the Japanese-style café ""An"", are thus: There aren't enough customers, the coffee she makes is really horrible, and… she's getting stalker-ish marriage proposals...",Manga,1,-
Café☆Griefseed e Youkoso!,Madoka and her friends open a café.,Manga,1,-
Cafe Junkie," Even though Masaru is about to graduate from a technical college pretty soon he still has no job. One and only pleasure for him is to spend time at a cafe called ""Hidamari"". The cafe is owned by his...",Light Novel,1,-
Cafe Milk Paradise,,One-shot,-,6.60
Cafe Occult,"Taking shelter from the rain, Suh Rin goes into a little cafe called Cafe Occult. Soon after leaving the cafe, she is hit by a car, and then a strange man pulls her down an alleyway. She is saved by a...",Manhwa,6,6.66
Cafe Sweet Coco Magic,,Manga,1,-
Cafe-Tic Love,It was difficult for Yuki to have long-lasting love with anyone of her boyfriends. Now she falls in love with Shingo at first sight. He helped her nonchalantly when her separation from her boyfriend g...,Manga,2,6.83
Cage,,One-shot,-,6.69
Cage,"When two sisters both start a job at a quiet high school, little did they know they were stepping out of the ordinary and into the perverse. It seems that the school they were assigned to is ran by a...",Manga,2,6.81
Cage,,Doujinshi,1,-
Cahe Tantei-bu,"Tsubamegaoka Private Academy—all girls' high school located just inside the city, famous for it's large number of clubs. From the common ones to some freakishly impressive ones. It's always okay to ma...",Manga,12,7.38
Cain,"A demon kills married couples while an angel tries to stop her, but cannot. Why? (from M-U)",One-shot,-,-
Cake,The story of how cake is the bridge between hearts young and old.,One-shot,-,-
Cake Cake Cake,"This story is about a girl who has no special talents to speak of, not even cooking, but loved sweets and cakes more than anything in the world, and could turn out terrific pancakes. Her love of cakes...",Manga,1,-
Cake Ouji no Spécialité,,Manga,2,-
Cake wo Kai ni,,Manga,1,-
Calamity Lost,,Manga,-,-
Calcio na Shitsuji,"Manga revolving around a roupeiro, a boy who works behind the scenes of the soccer team. (Source: ANN)",Manga,2,-
Calcium!: Joshikousei Ca no Kiken na Houkago,,Manga,2,-
Calendar Boy,Calendar Boy depicts the whimsical adventures of human personifications of national holidays on the Japanese calendar. Focusing on gags that are tied to stereotypes and images typically associated wit...,Manga,-,-
California Monogatari,,Manga,8,-
California Poppy,,One-shot,-,-
Call Me Darling,This volume includes short stories of four couples. ,Manga,1,-
Call My Name,"The first person that Shouko has gone out with is the first person that she has confessed to. His name is Asakawa. The only problem is, the girlfriend he treasured so much just dumped him two months a...",Manga,1,-
Call My Name,"Yamada has his love at first sight, but maybe happily ever after isn't so easy. (Source: Vices and Devices)",One-shot,-,6.77
Call Number X,,Manga,1,-
Call of Latho,,Light Novel,1,-
Call of the Wind,A one-shot about the developing relationship between an out-of-work wanderer and a mistreated boy. (from B-U),Manga,1,6.31
B - Wanted,Sunao always thought she'd fall in love when she started junior high school. But there aren't any attractive boys at school. Still Sunao doesn't give up and meets two handsome upperclassmen. The kind...,Manga,6,7.08
B Group no Shounen,"Sakuragi Ryo believes there are three different ranks inside the high school hierarchy. The ""A"" rank consists of the best looking, the smartest, and the most athletic members of the high school. The ""...",Manga,2,6.55
B Group no Shounen,"Sakuragi Ryo believes there are three different ranks inside the high school hierarchy. The ""A"" rank consists of the best looking, the smartest, and the most athletic members of the high school. The ""...",Light Novel,-,7.11
B Group no Shounen X,"Sakuragi Ryou believes there are three different ranks inside the high school hierarchy. The ""A"" rank consists of the best looking, the smartest, and the most athletic members of the high school. The...",Manga,3,6.28
B no Shokutaku,,Manga,3,-
B Rappers Street,"The story follows Yo!Hey, a boy who raps to the beat of his farts. (Source: ANN)",Manga,1,-
B Reaction,"Onodera Kensaku, a self taught martial artist, undefeated street fighter gets his ass whipped by a girl. Not by just any girl, but his home room teacher Asato Nanae and her High Left Kick. You'll see...",Manga,2,6.75
"B's-LOVEY Anthology: Ashita, Shinu.","A collection of stories for those whom it's decided they ""will die tomorrow.""",Manga,1,7.25
B's-LOVEY Anthology: BL of the Dead,"A collection of the ""ultimate love stories"" taking place in a world of zombies where a lover is ""the only sustenance I have to survive this world."" (Source: ANN) Note: Story 8 was collected in Ezuke w...",Manga,1,-
B's-LOVEY Anthology: Kuzu Otoko,A yaoi anthology by various artists.,Manga,1,-
-50kg no Cinderella,"Hime, a chubby girl, is a university student who is currently looking for a job. At a company briefing, she gets injured and is helped by an employee from the information desk, Osamu. With Osamu looki...",Manga,-,-
B's-LOVEY Anthology: Omegaverse,A collection of Omegaverse yaoi short stories by various mangaka.,Manga,1,-
B'T X,"The story begins with Teppei Takamiya, as he travels to China after years of living quietly in the fictional Kamui Island. He attempts to reunite with his brother Koutarou, who left Germany five years...",Manga,16,6.71
b-BOY Do S,An anthology of yaoi stories by various mangaka.,Manga,-,6.67
B-Chiku♥,1. Fraeulein Assault 2. Kuro Tights-sensei no Yuuutsu (Melancholy Of A Teacher In Black Tights) 3. Hatsu no Ecstasy (First Ecstasy) 4. E-le-gy 5. Engage x Insert 6. Absolute Normal 7. Kanojo ** Kibo n...,Manga,1,7.15
B-Curse,"Marie wanders into a forest that is rumored to be home to vampires, where she meets a boy called Sei who takes her to the home he shares with his master Ozwald. ",One-shot,-,-
B-Densetsu! Battle B-Daman,"Yamato Delgado is a young boy burning with a powerful B-DaSpirit. He lives a peaceful life with his foster mother Mie in a quite little town. However, a meeting with the mysterious man called Gray, wh...",Manga,8,-
B-Eyes,"With pitch black eyes, Kazuya Shidou is able to show illusions to whoever meets his gaze. If he wishes to, he can even kill people with the sheer terror brought on by these visions. He assumes that hi...",Manga,4,7.46
B-gata H-kei,"Yamada has a goal when she enters high school. She wants to make 100 sex friends, but she's got one small problem: she's a virgin! Afraid of being rejected or ridiculed by hot guys, she decides that i...",Manga,9,7.55
B-Gata Kareshi no Aishikata,"This book contains a complete analysis of Type A, Type B, Type 0, Type AB boys in particular!! 1. How to love a B blood type boyfriend It is said that blood type A and B are the worst combinations amo...",Manga,1,6.74
B-Gata Kareshi wa Setsumei Dekinai,,Manga,1,-
-6mm no Taboo,1. Half Moon 2. Private Gallery 3. Lover's Return 4. Night of Dismantlement 5. -6mm no Taboo 6. Neji no Kaiten EX,Manga,1,6.46
-Crow-,,Manga,1,-
-Hitogatana-,"In a world where it is possible to transfer human souls into objects, manned combat androids named ""Katana"" are used to commit heinous crimes and cause uncontrolled chaos. In response, the government...",Manga,-,7.28
-Home-,,Manga,2,-
-rain-,"""Because I love you."" On a rainy day, when Mai got stood up by the guy she likes she met a beautiful girl who told her that she was the Rain and that she had come because of her tears. After that Mai'...",One-shot,-,5.49
-SINS-,"Sara Tanjuro just recently transferred to Mikagami Eruma’s elementary school and have caused a major stir among the students. Tanjuro, knicknamed Satan, has been proposing his love to the girls left a...",One-shot,-,6.01
...Curtain.: Sensei to Kiyoraka ni Dousei,"1. Curtain 2. Rendan (Duet) 3. Anata ni mo Amai Hibi wo (Sweet Days for You, Too) 4. Aigan Shidou (Impassioned Drawing) 5. Aizen Zuhou: Aigan Shidou 2 (Entreaty Guidance: Impassioned Drawing 2)",Manga,1,6.18
...no Onna,"This is a ""Girl's Diary"" of four very different girl's lives recorded in four short stories. 1. The O Girl A girl who is confessed to by a fellow classmate says ""lets start as friends"" but she finds h...",Manga,1,6.44
...Seishunchuu!,"Kiriko has always been overshadowed by her older sister Eiko. Eiko is cute, smart, and extremely popular unlike Kiriko. This manga is about Kiriko leaving her sister's shadow. Although this sounds lik...",Manga,2,7.00
...Soushite Haha wa Mesu ni Naru,1-5. Okusama wa Idol 6. Ore no Ashi wo Hipparu Yatsura ga Warui,Manga,1,-
B-Hard,1. Lovely Eyes 2-3. A Game 4. F Dance 5. Risk a Hurt 6. Keep Me,Manga,1,-
B-kyuu Cinema Shoujo-gumi in Grindhouse,,Manga,-,-
B-kyuu Danshi Gourmet,"Everyone in class merely sees him as ""the forgiving buddy"", as they call him. Only Hikaru has started to see different faces of him. This Hikaru, who's in the middle of an unrequited love for such a g...",Manga,1,-
B-kyuu de Ikou!,,One-shot,-,-
B-kyuu Gourmet Club,"""B Grade"" is a manga that takes place a few years after the two lead males have graduated from high school. One of them came out in high school, and the other was a scary sempai who kind of took care...",Manga,-,-
B-Men Kazoku,"Merumo has come to the human world from the Magic Village, and is an extremely pure hearted witch by nature. Her mission is to find a ""Bi Men"" (""Bee-autiful Face"") gentleman... and make a baby with hi...",Manga,2,6.72
B-Project: Mousou*Scandal,,Manga,-,-
B-Shock,"""B-Shock!"" is mostly a screwball romantic comedy, a showcase for Nakano's wry sense of humor that does not often show in her work in ""Young You"". However, ""B-Shock!"" is also a shrewd commentary on the...",Manga,4,7.02
B-Trash!!,,Manga,-,-
B...,,One-shot,-,-
B.A.D.,"─Would you like me to save you?─ Under a blooming cherry blossom, Odagiri Tsutomu encounters a beautiful girl dressed in Gothic Lolita fashion and holding a red paper umbrella. She is Mayuzumi Azaka,...",Manga,2,6.65
...Virgin Love,"Third volume in the Kemono series, this volume is a side story to the previous volume featuring Kirishima Kaoru as the representative of the Fujido Groups and Daigo. It follows up on the relationship...",Manga,1,7.13
...Yatte!,1. Netorarezuki 2. Koiseyo Otome 3. Kanzen Chouaku 4. Nitamono Doushi 5. Tadaima Doutei Ooyasu-uri! 6. Kinkyori Attack! 7. Boku no Suki na Sensei 8. Hashire Shoujikimono 9. Flag Crusher Maki 10. Kuwab...,Manga,1,-
.hack//4-koma,"It follows the traditional 4koma with non-canon meetings between characters from both universes. The first few comics have mostly .hack//Games humor, but the majority explore the idea of inserting Kit...",Manga,1,7.28
.hack//AI Buster,"In the epic prequel to .hack, the avatar Albireo is a solo adventurer in The World, the most advanced online fantasy game ever created. When he comes across Lycoris, a strange little girl in a dungeon...",Light Novel,2,7.94
.hack//Alcor: Hagun no Jokyoku,".hack//Alcor: Hagun no Jokyoku takes place in the online game ""The World."" Nanase is a shy and naive girl belonging to the newbie helping guild ""Canard."" All she wants is to be with Silabus, the guild...",Manga,1,6.63
.hack//Another Birth,"While the original four .hack video games followed the tales and travels of Kite, these books tell the story all over again, from the view of Akira Hayami, also known as BlackRose in The World. When h...",Light Novel,4,7.85
.hack//Bullet,"The year is 2023, three years after the Immortal Dusk Incident. With the hacker-group Schicksal dissolved, having resigned from CyberConnect Corp., and the position of Network Trouble Consultant now v...",Light Novel,-,-
.hack//Cell,"The main premise of the story covers the happenings that Midori and Adamas witness and experience in The World R:2, an extremely popular MMORPG that is a new version of the original game, The World. M...",Light Novel,2,7.34
.hack//G.U.+,"It is the year 2017, and the stakes have gotten even higher in the massively multiplayer online game The World--now The World R:2, a dangerous place overrun by player killers, where lawlessness abound...",Manga,5,7.35
.hack//GnU,"Raid, a newbie Edge Punisher in The World R:2 decides to sell all of his gear and items in order to buy a rare sword. Unfortunately the sword draws the attention of a group of PKers who decide to kill...",Manga,-,6.60
B.A.D.,"""How can you call someone insane if they're not even arbitrarily murdering other people?"" she said while holding a bar of chocolate in one of her hands. Mayuzumi Azaka, an arrogant, cold hearted, self...",Light Novel,13,-
B.A.D.: Chocolate Days,A collection of side stories of B.A.D. Beyond Another Darkness.,Light Novel,4,-
B.B,"One night after leaving a club where he was playing trumpet Ryou Takagi is jumped by a motorcycle gang. The scuffle spills out into the streets and causes a traffic accident. Because of this, Ryou is...",Manga,31,-
B.B. Fish,,Manga,15,-
B.B. Girls,"Mishima Isami has never been able to participate in sports or clubs due to her poor health. Now that she's entering high school, she's decided to turn all that around. Her goal, inspired by a popular...",Manga,2,-
B.B. Joker,,Manga,5,-
